(1/5) Starting Filesystem Observer
(2/5) Starting Database
(3/5) Starting Workers
(4/5) Starting Simulations
(5/5) Starting Deleter
Solving conduit eqtn.
Solving conduit eqtn.
 Time interval:  [0,600]
 Time interval:  [0,600]
Time = 0, inc = 1/600
Time = 0, inc = 1/600
Time = 110.1836, inc = 111/600, computation time left = 0d 4h 8m 4.5221s
Time = 155.2588, inc = 156/600, computation time left = 0d 2h 41m 39.2943s
Time = 111.1853, inc = 112/600, computation time left = 0d 4h 7m 36.9617s
Time = 156.2604, inc = 157/600, computation time left = 0d 2h 41m 48.5119s
Time = 112.187, inc = 113/600, computation time left = 0d 4h 7m 45.3956s
Time = 157.2621, inc = 158/600, computation time left = 0d 2h 42m 2.0786s
Time = 113.1886, inc = 114/600, computation time left = 0d 4h 7m 20.9361s
Time = 158.2638, inc = 159/600, computation time left = 0d 2h 42m 9.581s
Time = 114.1903, inc = 115/600, computation time left = 0d 4h 7m 13.0895s
Time = 159.2654, inc = 160/600, computation time left = 0d 2h 42m 23.6822s
Time = 115.192, inc = 116/600, computation time left = 0d 4h 6m 54.862s
Time = 160.2671, inc = 161/600, computation time left = 0d 2h 42m 45.5827s
Time = 116.1937, inc = 117/600, computation time left = 0d 4h 6m 33.6762s
Time = 161.2688, inc = 162/600, computation time left = 0d 2h 42m 52.1427s
Time = 117.1953, inc = 118/600, computation time left = 0d 4h 6m 33.5318s
Time = 162.2705, inc = 163/600, computation time left = 0d 2h 42m 59.7065s
Time = 118.197, inc = 119/600, computation time left = 0d 4h 6m 18.694s
Time = 163.2721, inc = 164/600, computation time left = 0d 2h 43m 6.8924s
Time = 119.1987, inc = 120/600, computation time left = 0d 4h 6m 8.8621s
Time = 164.2738, inc = 165/600, computation time left = 0d 2h 43m 17.1601s
Time = 120.2003, inc = 121/600, computation time left = 0d 4h 5m 47.972s
Time = 165.2755, inc = 166/600, computation time left = 0d 2h 43m 17.3124s
Time = 121.202, inc = 122/600, computation time left = 0d 4h 5m 55.7361s
Time = 166.2771, inc = 167/600, computation time left = 0d 2h 43m 24.0442s
Time = 122.2037, inc = 123/600, computation time left = 0d 4h 5m 49.2945s
Time = 167.2788, inc = 168/600, computation time left = 0d 2h 43m 23.9627s
Time = 123.2053, inc = 124/600, computation time left = 0d 4h 5m 25.5808s
Time = 168.2805, inc = 169/600, computation time left = 0d 2h 43m 27.4105s
Time = 124.207, inc = 125/600, computation time left = 0d 4h 4m 50.8459s
Time = 169.2821, inc = 170/600, computation time left = 0d 2h 43m 34.2825s
Time = 125.2087, inc = 126/600, computation time left = 0d 4h 4m 55.2882s
Time = 170.2838, inc = 171/600, computation time left = 0d 2h 43m 39.3914s
Time = 126.2104, inc = 127/600, computation time left = 0d 4h 4m 33.129s
Time = 171.2855, inc = 172/600, computation time left = 0d 2h 43m 53.0241s
Time = 172.2871, inc = 173/600, computation time left = 0d 2h 43m 30.5426s
Time = 127.212, inc = 128/600, computation time left = 0d 4h 4m 28.306s
Time = 173.2888, inc = 174/600, computation time left = 0d 2h 43m 22.6786s
Time = 128.2137, inc = 129/600, computation time left = 0d 4h 4m 26.3853s
Time = 174.2905, inc = 175/600, computation time left = 0d 2h 43m 29.6974s
Time = 129.2154, inc = 130/600, computation time left = 0d 4h 3m 54.4301s
Time = 175.2922, inc = 176/600, computation time left = 0d 2h 43m 30.859s
Time = 130.217, inc = 131/600, computation time left = 0d 4h 3m 46.9193s
Time = 176.2938, inc = 177/600, computation time left = 0d 2h 43m 41.7043s
Time = 131.2187, inc = 132/600, computation time left = 0d 4h 3m 14.964s
Time = 177.2955, inc = 178/600, computation time left = 0d 2h 43m 42.4179s
Time = 132.2204, inc = 133/600, computation time left = 0d 4h 3m 8.1429s
Time = 178.2972, inc = 179/600, computation time left = 0d 2h 43m 38.7945s
Time = 133.222, inc = 134/600, computation time left = 0d 4h 3m 5.3728s
Time = 179.2988, inc = 180/600, computation time left = 0d 2h 43m 36.434s
Time = 134.2237, inc = 135/600, computation time left = 0d 4h 2m 26.5005s
Time = 180.3005, inc = 181/600, computation time left = 0d 2h 43m 35.5754s
Time = 135.2254, inc = 136/600, computation time left = 0d 4h 2m 17.6652s
Time = 181.3022, inc = 182/600, computation time left = 0d 2h 43m 44.1419s
Time = 136.227, inc = 137/600, computation time left = 0d 4h 1m 40.3966s
Time = 182.3038, inc = 183/600, computation time left = 0d 2h 44m 1.3485s
Time = 137.2287, inc = 138/600, computation time left = 0d 4h 1m 5.0476s
Time = 138.2304, inc = 139/600, computation time left = 0d 4h 0m 43.7426s
Time = 183.3055, inc = 184/600, computation time left = 0d 2h 44m 9.7477s
Time = 184.3072, inc = 185/600, computation time left = 0d 2h 44m 8.2465s
Time = 139.2321, inc = 140/600, computation time left = 0d 4h 0m 33.6903s
Time = 185.3088, inc = 186/600, computation time left = 0d 2h 44m 5.1763s
Time = 140.2337, inc = 141/600, computation time left = 0d 4h 0m 9.6813s
Time = 141.2354, inc = 142/600, computation time left = 0d 3h 59m 31.9507s
Time = 186.3105, inc = 187/600, computation time left = 0d 2h 44m 14.5976s
Time = 187.3122, inc = 188/600, computation time left = 0d 2h 44m 11.8517s
Time = 142.2371, inc = 143/600, computation time left = 0d 3h 59m 30.1436s
Time = 188.3139, inc = 189/600, computation time left = 0d 2h 44m 7.8953s
Time = 143.2387, inc = 144/600, computation time left = 0d 3h 59m 1.0815s
Time = 189.3155, inc = 190/600, computation time left = 0d 2h 44m 3.7918s
Time = 144.2404, inc = 145/600, computation time left = 0d 3h 58m 45.5784s
Time = 145.2421, inc = 146/600, computation time left = 0d 3h 58m 7.7974s
Time = 190.3172, inc = 191/600, computation time left = 0d 2h 44m 10.3799s
Time = 191.3189, inc = 192/600, computation time left = 0d 2h 44m 6.0901s
Time = 146.2437, inc = 147/600, computation time left = 0d 3h 58m 12.0548s
Time = 192.3205, inc = 193/600, computation time left = 0d 2h 43m 58.1731s
Time = 147.2454, inc = 148/600, computation time left = 0d 3h 57m 47.2015s
Time = 193.3222, inc = 194/600, computation time left = 0d 2h 43m 48.6032s
Time = 148.2471, inc = 149/600, computation time left = 0d 3h 57m 26.9044s
Time = 194.3239, inc = 195/600, computation time left = 0d 2h 43m 42.1268s
Time = 149.2487, inc = 150/600, computation time left = 0d 3h 57m 7.4476s
Time = 195.3255, inc = 196/600, computation time left = 0d 2h 43m 47.4138s
Time = 150.2504, inc = 151/600, computation time left = 0d 3h 56m 32.5077s
Time = 196.3272, inc = 197/600, computation time left = 0d 2h 43m 34.2866s
Time = 151.2521, inc = 152/600, computation time left = 0d 3h 56m 30.2205s
Time = 197.3289, inc = 198/600, computation time left = 0d 2h 43m 27.2614s
Time = 152.2538, inc = 153/600, computation time left = 0d 3h 56m 1.3726s
Time = 198.3306, inc = 199/600, computation time left = 0d 2h 43m 20.8111s
Time = 153.2554, inc = 154/600, computation time left = 0d 3h 55m 49.8858s
